distance_meters,frame,player_id,speed_mps,team,total_distance_meters,x,y
0.000000,0,0,0.000000,Unknown,0.000000,708.000000,592.000000
0.000000,0,1,0.000000,Unknown,0.000000,751.000000,449.000000
0.000000,0,2,0.000000,Unknown,0.000000,156.500000,419.000000
0.995239,1,0,29.838680,Unknown,0.995239,708.995239,592.000000
0.000000,1,1,0.000000,Unknown,0.000000,751.000000,449.000000
0.000000,1,2,0.000000,Unknown,0.000000,156.500000,419.000000
0.504333,2,0,15.120631,Unknown,1.499573,709.499573,592.000000
0.000000,2,1,0.000000,Unknown,0.000000,751.000000,449.000000
0.000000,2,2,0.000000,Unknown,0.000000,156.500000,419.000000
0.985535,3,0,29.547722,Unknown,2.485107,710.485107,592.000000
0.000000,3,1,0.000000,Unknown,0.000000,751.000000,449.000000
0.000000,3,2,0.000000,Unknown,0.000000,156.500000,419.000000
0.967855,4,0,29.017650,Unknown,3.452962,710.526245,591.033020
0.000000,4,1,0.000000,Unknown,0.000000,751.000000,449.000000
0.000000,4,2,0.000000,Unknown,0.000000,156.500000,419.000000
0.000000,4,3,0.000000,Unknown,0.000000,1046.000000,446.000000
0.000000,4,4,0.000000,Unknown,0.000000,942.500000,500.000000
